measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Both,All ages,Ovarian cancer,Number,1999,723275.1464899762,800508.4706394422,669366.0583942677
Prevalence,Global,Both,All ages,Testicular cancer,Number,1999,468548.75527813646,556567.3201212003,377207.71685437724
Prevalence,Global,Both,All ages,Kidney cancer,Number,1999,950218.5496270913,972635.9646170274,927327.5722902364
Prevalence,Global,Both,All ages,Bladder cancer,Number,1999,1496147.261690127,1531144.2661828946,1458453.8105526937
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,1999,564277.930721115,637926.5778099049,471873.0545199618
Prevalence,Global,Both,All ages,Thyroid cancer,Number,1999,935913.4814122039,979436.0255863362,857510.1448394371
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,2000,907703.2319685292,1036529.2204199136,799820.2701440875
Prevalence,Global,Both,All ages,Ovarian cancer,Number,2000,746356.5743913065,821349.8093053957,691108.3481628528
Prevalence,Global,Both,All ages,Testicular cancer,Number,2000,482651.32348683657,572070.1725958125,388155.6130104409
Prevalence,Global,Both,All ages,Kidney cancer,Number,2000,988573.315971337,1012117.9112638652,965702.2997173638
Prevalence,Global,Both,All ages,Bladder cancer,Number,2000,1538800.5915562834,1576368.0687772762,1498793.3511294336
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,2000,580528.283671261,650764.4477974549,479825.8546253096
Prevalence,Global,Both,All ages,Thyroid cancer,Number,2000,975390.2615943893,1016552.0575189881,893550.2410729555
Prevalence,Global,Both,All ages,Esophageal cancer,Number,1999,640245.2237009277,685785.1948665725,480902.8298216283
Prevalence,Global,Both,All ages,Stomach cancer,Number,1999,1667984.091990483,1729351.0494364458,1603645.742361845
Prevalence,Global,Both,All ages,Liver cancer,Number,1999,595064.2931839125,625495.6989690515,567412.7167248928
Prevalence,Global,Both,All ages,Larynx cancer,Number,1999,783703.0770610684,813990.2617650192,754940.479834696
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1999,1777867.496104342,1822710.448933401,1724136.3696166552
Prevalence,Global,Both,All ages,Breast cancer,Number,1999,11012795.21965595,11521852.392931096,10591286.349762997
Prevalence,Global,Both,All ages,Cervical cancer,Number,1999,1884096.6271466154,2160973.501224079,1713087.9960775096
Prevalence,Global,Both,All ages,Uterine cancer,Number,1999,1635091.2552593125,1692255.2080811248,1507922.9838725408
Prevalence,Global,Both,All ages,Prostate cancer,Number,1999,5417464.629149206,6367525.702262168,4363796.301706463
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,1999,5453755.799089627,5581128.75571169,5306088.943505471
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,1999,792814.9904306697,815872.7062101437,768485.2364779857
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,1999,354167.6924670415,375689.1990826574,332299.0345078429
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,1999,116651.98709098122,119629.80421071475,113923.60174778996
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,1999,158542.053035582,172966.80294143606,142728.11019740338
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,1999,214130.4779149721,219055.66721041806,206597.6132956946
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,1998,1114728.515505203,1301661.8483548702,954009.7063218284
Prevalence,Global,Both,All ages,Ovarian cancer,Number,1998,704929.4090441694,780826.6196988561,649906.8613599729
Prevalence,Global,Both,All ages,Testicular cancer,Number,1998,451499.17409953644,541683.4035772537,360557.5896389735
Prevalence,Global,Both,All ages,Kidney cancer,Number,1998,913556.5980065898,934526.4735057895,892956.0835670965
Prevalence,Global,Both,All ages,Bladder cancer,Number,1998,1452041.5465956477,1485563.450716647,1414685.4949158216
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,1998,546964.5314877479,628583.6325141516,460334.7052063449
Prevalence,Global,Both,All ages,Thyroid cancer,Number,1998,895533.2511898511,935621.9022501144,819843.9109549869
Prevalence,Global,Both,All ages,Esophageal cancer,Number,2000,669811.1859721836,721133.9294633004,499730.8754593591
Prevalence,Global,Both,All ages,Stomach cancer,Number,2000,1708082.1262551483,1778816.5332605224,1639693.2870306508
Prevalence,Global,Both,All ages,Liver cancer,Number,2000,599336.4500491259,633778.9034769665,567559.229893671
Prevalence,Global,Both,All ages,Larynx cancer,Number,2000,792528.7520124037,823893.1428021822,762582.6565408978
Prevalence,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2000,1830053.2348471337,1881987.7087927272,1777065.596856303
Prevalence,Global,Both,All ages,Breast cancer,Number,2000,11307773.80971249,11831312.893885773,10871528.078872213
Prevalence,Global,Both,All ages,Cervical cancer,Number,2000,1925622.5499445023,2181389.127246751,1739685.87009949
Prevalence,Global,Both,All ages,Uterine cancer,Number,2000,1693264.0167201057,1749948.9398059938,1558668.5243239135
Prevalence,Global,Both,All ages,Prostate cancer,Number,2000,5617772.9729434475,6649380.834702108,4547508.950132315
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,2000,5642082.151077911,5785786.609440184,5481270.3175406875
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,2000,809262.0448716318,832646.6539459391,785660.9466168984
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,2000,365529.0791517415,390298.2277247844,342504.5908265645
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,2000,121207.59115600758,124207.6362062181,118596.58470562697
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,2000,162565.5572704363,174509.44005479375,146868.58677760343
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,2000,221874.38927257236,227784.73535036933,214227.2385236341
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,1997,1301821.8672419006,1537215.7186173105,1097499.5476548185
